FORWARD_TEXT_FORMAT_1.0
STDEP =  2325.0000
ENDEP =  3749.5000
RLEV  =     0.1250
CURVENAME =  GR, SP, CALI, C13, C24, RT, RI, RXO, AC, CNL, DEN, SH, POR, GR_CMR, CMRP_A, CMEF_17, CMFF_6, CMFF_20, KTIM_20, KSDR_20, SO, DEVI, AZIM
END
#DEPTH            GR         SP       CALI        C13        C24         RT         RI        RXO         AC        CNL        DEN         SH        POR     GR_CMR     CMRP_A    CMEF_17     CMFF_6    CMFF_20    KTIM_20    KSDR_20         SO       DEVI       AZIM
2330.5000      70.008    -16.815      1.661      1.661      2.078   1730.582      1.428      0.698     93.608     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.612    295.568
2330.6250      72.444    -16.915      1.661      1.661      2.079   1711.668      4.136      0.698     94.134     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.612    294.977
2330.7500      72.705    -17.023      1.658      1.658      2.079   1708.289      3.011      0.698     94.617     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.612    295.104
2330.8750      71.880    -17.112      1.656      1.656      2.079   1681.786      4.341      0.698     96.954     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.612    295.404
2331.0000      70.777    -17.165      1.654      1.654      2.079   1635.548      3.254      0.698    100.202     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.613    296.166
2331.1250      69.746    -17.174      1.653      1.653      2.079   1613.855      1.093      0.698    102.177     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.614    297.092
2331.2500      68.834    -17.134      1.653      1.653      2.079   1654.327      1.085      0.698    101.193     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.614    297.738
2331.3750      67.925    -17.044      1.654      1.654      2.079   1689.424      1.029      0.698     99.761     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.614    298.278
2331.5000      68.303    -16.925      1.656      1.656      2.079   1730.129      1.007      0.698     99.481     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.615    299.212
2331.6250      69.218    -16.797      1.656      1.656      2.079   1725.465      1.080      0.698     99.376     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.615    301.262
2331.7500      69.876    -16.671      1.654      1.654      2.080   1698.914      1.031      0.698     99.522     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.615    303.756
2331.8750      69.680    -16.553      1.650      1.650      2.081   1692.130      2.276      0.698    100.205     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.615    305.879
2332.0000      68.423    -16.445      1.647      1.647      2.081   1750.065      7.483      0.698    101.754     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.615    307.001
2332.1250      67.359    -16.350      1.647      1.647      2.080   1855.759      6.944      0.698    103.672     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.616    307.647
2332.2500      65.498    -16.270      1.649      1.649      2.078   1906.611      7.289      0.698    103.639     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.616    307.597
2332.3750      64.166    -16.208      1.652      1.652      2.077   1858.948      6.689      0.698    104.320     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.617    307.571
2332.5000      64.102    -16.168      1.656      1.656      2.076   1809.231      4.275      0.698    106.197     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.617    307.650
2332.6250      65.401    -16.152      1.660      1.660      2.076   1824.714      0.837      0.698    107.799     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.617    307.365
2332.7500      67.062    -16.165      1.662      1.662      2.077   1716.888      0.949      0.698    104.341     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.617    305.308
2332.8750      68.321    -16.202      1.662      1.662      2.078   1797.330      0.778      0.698    100.467     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.618    306.881
